Gender,Race/Ethnicity,Home_City,Preferred_Langauge,Hobby_Interest,Budget,Fathers_Occupation,Mothers_Occupation,Study_Group,Degree_Program,Matric Grade,Inter Grade,Campus,University
male,group B,Kohat,Hinko,Reading,Medium,Engrr,House Wife,Pre-Engrr,BSCS,B-,A,Peshawar,FAST NUCES
male,group D,Lahore,Urdu,Gaming,Medium,Engrr,House Wife,Pre-Med,BSSE,A,A,Islamabad,FAST NUCES
female,group B,Karachi,Urdu,Writing,Low,Teacher,House Wife,Pre-Engrr,BSCS,A,A,Lahore,FAST NUCES
female,group C,Karachi,Urdu,Reading,Medium,Engrr,House Wife,Pre-Engrr,BSEE,B,B,Islamabad,FAST NUCES
male,group D,Lahore,Urdu,Gaming,Medium,Engrr,House Wife,Pre-Med,BSSE,A,A,Islamabad,FAST NUCES
female,group B,Karachi,Urdu,Writing,Low,Teacher,House Wife,Pre-Engrr,BSCS,A,A,Lahore,FAST NUCES
female,group A,Bakhar,Urdu,Gaming,Medium,Doctor,House Wife,CS,BSCS,A-,B-,Islamabad,FAST NUCES
male,group B,Peshawar,Pashto,Writing,High,Engrr,House Wife,Arts,BBAF,A+,A+,Islamabad,COMSATS
female,group C,Karachi,English,Sports,Medium,Engrr,House Wife,CS,BSCS,A+,A+,Islamabad,COMSATS
male,group C,Peshawar,Pashto,Gaming,Medium,Engrr,House Wife,Pre-Engrr,BSEE,A+,A+,Islamabad,COMSATS
female,group D,Karachi,English,Reading,High,Doctor,House Wife,Pre-Engrr,BSCS,A+,B+,Islamabad,COMSATS
male,group B,Lahore,Pashto,Nothing,High,Teacher,Doctor,Arts,BBA,A+,A+,Lahore,COMSATS
male,group C,Bakhar,Punjabi,Gaming,Medium,Doctor,House Wife,CS,BSCS,A,B-,Lahore,COMSATS
male,group B,Kashmir,Pashto,Reading,Medium,Teacher,Doctor,CS,BSCS,A,A+,Lahore,COMSATS
male,group A,Sialkot,English,Nothing,High,Doctor,Doctor,CS,BBA,A+,A-,Lahore,COMSATS
female,group C,Sialkot,Pashto,Reading,High,Army,Doctor,CS,BBA,A+,A+,Lahore,COMSATS
female,group B,Gujrat,Urdu,Reading,Medium,Army,Doctor,Pre-Engrr,BSEE,A+,A+,Lahore,COMSATS
male,group C,Sialkot,Urdu,Reading,Medium,Army,Doctor,Pre-Engrr,BSEE,B,B,Lahore,COMSATS
